Name,Region,Resource ID,Resource Type,Tag Key,Tag Value
–,us-east-1,sg-0d4e52ba95ea1971e,SecurityGroup
–,us-east-1,sg-0071bf8f2a84f59a7,SecurityGroup
–,us-east-1,sg-0404cba3e46f72f96,SecurityGroup
–,us-east-1,sg-0da077fff8d6d74b4,SecurityGroup
–,us-east-1,sg-0bc1e8b8e6f466c47,SecurityGroup
–,us-east-1,sg-07ded5cba976ae58d,SecurityGroup
–,us-east-1,sg-09fa3f7d7f3caa66b,SecurityGroup
–,us-east-1,sg-024eae652ef130f78,SecurityGroup
–,us-east-1,sg-0677836c5be433bcd,SecurityGroup
–,us-east-1,sg-021e8cd52a420e2f1,SecurityGroup
–,us-east-1,subnet-0e8dc5848a1566d56,Subnet
–,us-east-1,subnet-02394742bb4c83f1c,Subnet
–,us-east-1,subnet-082da6719a56b0179,Subnet
–,us-east-1,subnet-0d995c2013baaa502,Subnet
–,us-east-1,subnet-060a0b0018c72542d,Subnet
–,us-east-1,subnet-0dfa057f74350079d,Subnet
–,ap-southeast-1,vpc-0788265f5b2ac46f7,Vpc
–,ap-south-1,subnet-07d711b6600fbb2d8,Subnet
–,ap-south-1,subnet-0dc9684a182467070,Subnet
–,ap-south-1,subnet-0b89b8bf857c7e681,Subnet
–,ap-south-1,vpc-0810614fa38a1aaae,Vpc
–,ap-southeast-1,sg-0f872f456f97b6b18,SecurityGroup
–,us-east-1,vol-08e1794804eb036fe,Volume
web volume,us-east-1,vol-072f0382643c5da57,Volume,Name,web volume
–,us-east-1,vol-0c38d02a885f9a0eb,Volume,,
–,ap-southeast-1,subnet-00f333429e318544b,Subnet,,
–,ap-southeast-1,subnet-0d1172ecc26f35ad8,Subnet,,
–,ap-southeast-1,subnet-0fc6a2e352d9ba2a9,Subnet,,
–,ap-south-1,sg-08207cf593a5532ee,SecurityGroup,,
ubuntu,us-east-1,i-0975d5a5d27c2c320,Instance,Name,ubuntu
–,eu-central-1,subnet-0267225bf1edb961e,Subnet,,
–,eu-central-1,subnet-041117b121be64c4f,Subnet,,
–,eu-central-1,subnet-0bdc5786a0c936e69,Subnet,,
–,eu-central-1,sg-0f2dcc68dec489f30,SecurityGroup,,
–,ap-northeast-3,sg-057e6e7001c663b90,SecurityGroup,,
–,ap-southeast-2,subnet-04edb1907ae9cc619,Subnet,,
–,ap-southeast-2,subnet-09474cfa730d3ecc6,Subnet,,
–,ap-southeast-2,subnet-092eb4d031f43429e,Subnet,,
–,us-east-1,vpc-0408b0f524e4d70a7,Vpc,,
–,ap-southeast-2,sg-0c9d80898c80d35c3,SecurityGroup,,
–,ap-northeast-3,vpc-02de36d2e61dec86b,Vpc,,
–,ap-northeast-3,subnet-048e20b315483575e,Subnet,,
–,ap-northeast-3,subnet-04651c62be09fd9c4,Subnet,,
–,ap-northeast-3,subnet-0758d4d04c6e52509,Subnet,,
–,eu-central-1,vpc-0d2c3ab3633473d48,Vpc,,
–,eu-west-2,vpc-01c4f93f786436e11,Vpc,,
–,ap-southeast-2,vpc-01c7890d899f33a77,Vpc,,
–,ca-central-1,sg-0e33ce5c5c443c6e0,SecurityGroup,,
–,ca-central-1,vpc-0e9de6088951c4434,Vpc,,
–,eu-west-2,sg-022f581ba41ba3d37,SecurityGroup,,
–,eu-west-2,subnet-01071a3cb1df8c8f3,Subnet,,
–,eu-west-2,subnet-04cfebceb534bd97c,Subnet,,
–,eu-west-2,subnet-068017a3a467e435d,Subnet,,
–,ap-northeast-1,vpc-05e0117ba075edd5c,Vpc,,
–,us-west-1,sg-046843a909d4550f0,SecurityGroup,,
–,eu-north-1,vpc-05d54400747ffb7df,Vpc,,
–,eu-north-1,sg-03a2625d2c1da3761,SecurityGroup,,
–,us-west-1,subnet-0bfa8c527a6b80340,Subnet,,
–,us-west-1,subnet-09730a27839840cb4,Subnet,,
–,eu-west-3,vpc-049a0aff45a5383ef,Vpc,,
–,us-west-1,vpc-07d479e81d299629d,Vpc,,
–,eu-north-1,subnet-05baa842056918a42,Subnet,,
–,eu-north-1,subnet-0108ae53aa282d56f,Subnet,,
–,eu-north-1,subnet-0b3199fe6d51c4f56,Subnet,,
–,us-east-2,vpc-0cb84f169e9aa4f2c,Vpc,,
–,us-west-2,vpc-0c3f36155783d0a5b,Vpc,,
–,ap-northeast-1,subnet-001bba68e9ba8252b,Subnet,,
–,ap-northeast-1,subnet-0996df47d77c98837,Subnet,,
–,ap-northeast-1,subnet-0526a68ec0377da43,Subnet,,
–,ca-central-1,subnet-0826c106e1d9ec2d7,Subnet,,
–,ca-central-1,subnet-087d20b75d1f07a2b,Subnet,,
–,ca-central-1,subnet-01a4da6693dfd4453,Subnet,,
–,eu-west-3,sg-084fea0102e4d2903,SecurityGroup,,
–,ap-northeast-2,sg-0db8788acb71415e3,SecurityGroup,,
–,ap-northeast-2,vpc-083045abfe03284d2,Vpc,,
–,us-east-2,sg-023715026535236e4,SecurityGroup,,
–,ap-northeast-1,sg-0b9ca3dd2f677e3cd,SecurityGroup,,
–,us-west-2,subnet-098d34253773ebda0,Subnet,,
–,us-west-2,subnet-02a6af4f08eceec8a,Subnet,,
–,us-west-2,subnet-044bc2b22a4db45cb,Subnet,,
–,us-west-2,subnet-075c7faa1d16271d9,Subnet,,
–,eu-west-3,subnet-0a626fb366394e196,Subnet,,
–,eu-west-3,subnet-0de94e1d759aafe99,Subnet,,
–,eu-west-3,subnet-06ffeccc2ba3fc513,Subnet,,
–,us-east-2,subnet-0fdcc3a95f0ee7fb3,Subnet,,
–,us-east-2,subnet-046722a776c7468bb,Subnet,,
–,us-east-2,subnet-04abe2dec8ee14883,Subnet,,
–,ap-northeast-2,subnet-076f54beab4cb20f0,Subnet,,
–,ap-northeast-2,subnet-03aeda4a31b91dbca,Subnet,,
–,ap-northeast-2,subnet-083df591b069a1dcc,Subnet,,
–,us-west-2,sg-0133021c9894c1097,SecurityGroup,,
–,ap-northeast-2,subnet-058c53a9149f074f2,Subnet,,
–,sa-east-1,vpc-054ac57e4d6f13247,Vpc,,
–,sa-east-1,subnet-0102c05022303867e,Subnet,,
–,sa-east-1,subnet-03adf9baa5cce3caa,Subnet,,
–,sa-east-1,subnet-037cb2810704cfad0,Subnet,,
–,eu-west-1,subnet-0c55f105ace5ac135,Subnet,,
–,eu-west-1,subnet-04104f5c43a316a8e,Subnet,,
–,eu-west-1,subnet-081032af09aaa473e,Subnet,,
–,eu-west-1,sg-059f2cc097f5f0ddf,SecurityGroup,,
–,eu-west-1,vpc-0225ad692598248ca,Vpc,,
–,sa-east-1,sg-030ba5edb65874d53,SecurityGroup,,
–,us-east-1,vol-08fc5e4642d6f51cc,Volume,,
–,us-east-1,vol-035f0ae8ee60e97a7,Volume,,
–,us-east-1,vol-047cc8c2b9813919d,Volume,,
–,us-east-1,sg-013f52493ddc90713,SecurityGroup,,
myserver24,us-east-1,i-05e2e16d27eba06d9,Instance,Name,myserver24
efslinux,us-east-1,i-03f0c48d166616b0a,Instance,Name,efslinux
–,us-east-1,vol-017ff53d9ae78f18f,Volume,,
–,us-east-1,sg-0254c44cbc379dd02,SecurityGroup,,